source_id,id,name_zh,phone,address_raw,postal_code,city_or_county,district,region,website,school_category
20,school_020_臺北市立大學,臺北市立大學,886-2-28718288#7505(招生); 886-2-23113040#1121(註冊),100234 臺北市中正區愛國西路1 號; 111036 臺北市士林區忠誠路2 段101 號,100234,臺北市,中正區,north,http://www.utaipei.edu.tw/,public;general_or_specialized_university
21,school_021_國立臺中教育大學,國立臺中教育大學,886-4-22183682,403454 臺中市西區民生路140 號,403454,臺中市,西區,central,https://www.ntcu.edu.tw/,public;general_or_specialized_university;education
22,school_022_國立屏東大學,國立屏東大學,886-8-766-3800#17009,900391 屏東縣屏東市民生路4-18 號,900391,屏東縣屏東市,,,https://www.nptu.edu.tw/,public;general_or_specialized_university
23,school_023_國立臺東大學,國立臺東大學,886-89-517873,950309 臺東縣臺東市大學路二段369 號,950309,臺東縣臺東市,,,https://www.nttu.edu.tw,public;general_or_specialized_university
24,school_024_國立臺南大學,國立臺南大學,886-6-2133111#242,700301 臺南市中西區樹林街2 段33 號,700301,臺南市,中西區,south,https://www.nutn.edu.tw/,public;general_or_specialized_university
25,school_025_國立高雄大學,國立高雄大學,886-7-5919000#8242,811726 高雄市楠梓區高雄大學路700 號,811726,高雄市,楠梓區,south,https://www.nuk.edu.tw/,public;general_or_specialized_university
26,school_026_國立臺灣藝術大學,國立臺灣藝術大學,886-2-22722181#1151,220307 新北市板橋區大觀路1 段59 號,220307,新北市,板橋區,north,https://www.ntua.edu.tw/,public;general_or_specialized_university;arts
27,school_027_國立臺北教育大學,國立臺北教育大學,886-2-66396688#82015,106320 臺北市大安區和平東路2 段134 號,106320,臺北市,大安區,north,https://www.ntue.edu.tw,public;general_or_specialized_university;education
28,school_028_國立臺北藝術大學,國立臺北藝術大學,886-2-28961000#1255,112301 臺北市北投區學園路1 號,112301,臺北市,北投區,north,https://w3.tnua.edu.tw/,public;general_or_specialized_university;arts
29,school_029_國立臺灣體育運動大學,國立臺灣體育運動大學,886-4-22213108#2151,404401 臺中市北區雙十路一段16 號,404401,臺中市,北區,central,https://www.ntus.edu.tw,public;general_or_specialized_university;sports
30,school_030_國立體育大學,國立體育大學,886-3-3283201#1592,333325 桃園市龜山區文化一路250 號,333325,桃園市,龜山區,north,http://www.ntsu.edu.tw,public;general_or_specialized_university;sports
31,school_031_國立臺南藝術大學,國立臺南藝術大學,886-6-6931212,720005 臺南市官田區大崎里66 號,720005,臺南市,官田區,south,https://www.tnnua.edu.tw,public;general_or_specialized_university;arts
32,school_032_國防醫學大學,國防醫學大學,886-2-87923100#18085,114201 臺北市內湖區民權東路六段161 號,114201,臺北市,內湖區,north,https://www.ndmctsgh.edu.tw/,private_or_other;general_or_specialized_university;medical_health
33,school_033_國立聯合大學,國立聯合大學,886-37-381131,360001 苗栗市恭敬里聯大一號,360001,苗栗市,,,http://www.nuu.edu.tw,public;general_or_specialized_university
34,school_034_中國醫藥大學,中國醫藥大學,886-4-22053366#1122,406040 台中市北屯區經貿路一段100 號,406040,台中市,北屯區,central,https://cmucia.cmu.edu.tw/admission.html,private_or_other;general_or_specialized_university;medical_health
35,school_035_淡江大學,淡江大學,886-2-26215656 #3567,251301 新北市淡水區英專路151 號,251301,新北市,淡水區,north,http://www.tku.edu.tw,private_or_other;general_or_specialized_university
36,school_036_中原大學,中原大學,886-3-2651718,320314 桃園市中壢區中北路200 號,320314,桃園市,中壢區,north,http://www.cycu.edu.tw,private_or_other;general_or_specialized_university
37,school_037_天主教輔仁大學,天主教輔仁大學,886-2-29053074,242062 新北市新莊區中正路510 號,242062,新北市,新莊區,north,https://www.fju.edu.tw/,private_or_other;general_or_specialized_university
38,school_038_東海大學,東海大學,886-4-23598900,407224 台中市西屯區臺灣大道四段1727 號,407224,台中市,西屯區,central,https://www.thu.edu.tw,private_or_other;general_or_specialized_university
39,school_039_中國文化大學,中國文化大學,886-2-28610511 #11312,111396 台北市士林區華岡路55 號,111396,台北市,士林區,north,http://www.pccu.edu.tw,private_or_other;general_or_specialized_university
40,school_040_逢甲大學,逢甲大學,886-4-24517250#2184,407102 台中市西屯區文華路100 號,407102,台中市,西屯區,central,https://www.fcu.edu.tw/,private_or_other;general_or_specialized_university
41,school_041_東吳大學,東吳大學,886-2-28819471#6068,111002 台北市士林區臨溪路70 號,111002,台北市,士林區,north,http://www.scu.edu.tw,private_or_other;general_or_specialized_university
42,school_042_元智大學,元智大學,886-3-4638800#3287,320315 桃園市中壢區遠東路135 號,320315,桃園市,中壢區,north,https://www.yzu.edu.tw/,private_or_other;general_or_specialized_university
43,school_043_長庚大學,長庚大學,886-3-2118800#3536,333323 桃園市龜山區文化一路259 號,333323,桃園市,龜山區,north,http://www.cgu.edu.tw,private_or_other;general_or_specialized_university
44,school_044_世新大學,世新大學,886-2-22368225#82042,116002 臺北市文山區木柵路一段17 巷1 號,116002,臺北市,文山區,north,https://www.shu.edu.tw/,private_or_other;general_or_specialized_university
45,school_045_中山醫學大學,中山醫學大學,886-4-36098795,402367 臺中市南區建國北路1 段110 號,402367,臺中市,南區,central,http://www.csmu.edu.tw,private_or_other;general_or_specialized_university;medical_health
46,school_046_實踐大學,實踐大學,886-2-25381111#2215,104336 台北市中山區大直街70 號,104336,台北市,中山區,north,https://www.usc.edu.tw,private_or_other;general_or_specialized_university
47,school_047_實踐大學高雄,實踐大學(高雄),886-7-6678888#3191,845050 高雄市內門區內南里大學路200 號,845050,高雄市,內門區,south,https://www.kh.usc.edu.tw/,private_or_other;general_or_specialized_university
48,school_048_義守大學,義守大學,886-7-6577711,840301 高雄市大樹區學城路1 段1 號,840301,高雄市,大樹區,south,https://www.isu.edu.tw,private_or_other;general_or_specialized_university
49,school_049_臺北醫學大學,臺北醫學大學,886-2-27361661#2144,110301 臺北市信義區吳興街250 號,110301,臺北市,信義區,north,https://www.tmu.edu.tw,private_or_other;general_or_specialized_university;medical_health
50,school_050_靜宜大學,靜宜大學,886-4-26328001,433303 台中市沙鹿區台灣大道七段200 號,433303,台中市,沙鹿區,central,https://oia.pu.edu.tw/app/home.php,private_or_other;general_or_specialized_university
51,school_051_長榮大學,長榮大學,886-6-2785123#1737,711301 臺南市歸仁區長大路1 號,711301,臺南市,歸仁區,south,http://www.cjcu.edu.tw,private_or_other;general_or_specialized_university
52,school_052_真理大學,真理大學,886-2-26212121#7439,251306 新北市淡水區真理街32 號,251306,新北市,淡水區,north,http://www.au.edu.tw,private_or_other;general_or_specialized_university
53,school_053_開南大學,開南大學,886-3-3412500#6028,338103 桃園市蘆竹區開南路1 號,338103,桃園市,蘆竹區,north,http://www.knu.edu.tw,private_or_other;general_or_specialized_university
54,school_054_大葉大學,大葉大學,886-4-8511888#1788,515006 彰化縣大村鄉學府路168 號,515006,彰化縣,大村鄉,central,http://www.dyu.edu.tw,private_or_other;general_or_specialized_university
55,school_055_大同大學,大同大學,886-2-21822928#7521,104327 台北市中山北路三段40 號,104327,台北市,,north,https://www.ttu.edu.tw/,private_or_other;general_or_specialized_university
56,school_056_華梵大學,華梵大學,886-2-26632102#2233,223011 新北市石碇區華梵路1 號,223011,新北市,石碇區,north,http://www.hfu.edu.tw,private_or_other;general_or_specialized_university
57,school_057_南華大學,南華大學,886-5-2721001#1711,622301 嘉義縣大林鎮南華路一段55 號,622301,嘉義縣,大林鎮,south,https://www3.nhu.edu.tw/,private_or_other;general_or_specialized_university
58,school_058_玄奘大學,玄奘大學,886-3-5302255 #2199,300102 新竹市香山區玄奘路48 號,300102,新竹市,香山區,north,http://www.hcu.edu.tw,private_or_other;general_or_specialized_university
59,school_059_佛光大學,佛光大學,886-3-9871000#12512,262307 宜蘭縣礁溪鄉林美村林尾路160 號,262307,宜蘭縣,礁溪鄉,north,http://www.fgu.edu.tw/,private_or_other;general_or_specialized_university
60,school_060_,,馬偕學校財團法人馬偕醫886-2-26360303#1123,252005 新北市三芝區中正路三段46 號,252005,新北市,三芝區,north,https://www.mmu.edu.tw/,private_or_other
61,school_061_中信金融管理學院,中信金融管理學院,886-6-2873335#2676,709301 台南市安南區台江大道3 段600 號,709301,台南市,安南區,south,http://www.ctbc.edu.tw,private_or_other;general_or_specialized_university;business_management
62,school_062_銘傳大學臺北,銘傳大學(臺北),886-2-28824564#2247,111005 台北市士林區中山北路五段250 號,111005,台北市,士林區,north,https://web2.mcu.edu.tw/,private_or_other;general_or_specialized_university
63,school_063_銘傳大學桃園,銘傳大學(桃園),886-2-28824564#2247,111005 台北市士林區中山北路五段250 號,111005,台北市,士林區,north,https://web2.mcu.edu.tw/,private_or_other;general_or_specialized_university
64,school_064_高雄醫學大學,高雄醫學大學,886-7-3121101#2109,807378 高雄市三民區十全一路100 號,807378,高雄市,三民區,south,https://www.kmu.edu.tw,private_or_other;general_or_specialized_university;medical_health
65,school_065_亞洲大學,亞洲大學,886-4-23323456# 6275,413305 台中市霧峰區柳豐路500 號,413305,台中市,霧峰區,central,http://www.asia.edu.tw,private_or_other;general_or_specialized_university
66,school_066_慈濟大學,慈濟大學,886-3-8565301#11025,970374 花蓮縣花蓮市中央路3 段701 號,970374,花蓮縣花蓮市,,,https://www.tcu.edu.tw/,private_or_other;general_or_specialized_university
67,school_067_康寧大學,康寧大學,886-2-2632-1181#310,114055 臺北市內湖區康寧路三段75 巷137 號 (臺北校區),114055,臺北市,內湖區,north,https://www.ukn.edu.tw/,private_or_other;general_or_specialized_university
68,school_068_法鼓學校財團法人法鼓文理,法鼓學校財團法人法鼓文理學院,886-2-24980707#5316,208303 新北市金山區西湖里法鼓路700 號,208303,新北市,金山區,north,https://www.dila.edu.tw/,private_or_other;general_or_specialized_university
69,school_069_臺北基督學院,臺北基督學院,886-2-2809-7661# 2220,251022 新北市淡水區自強路51 號,251022,新北市,淡水區,north,http://www.cct.edu.tw,private_or_other;general_or_specialized_university
70,school_070_國立高雄科技大學,國立高雄科技大學,886-7-3814526#19022,807618 高雄市三民區建工路415 號,807618,高雄市,三民區,south,http://www.nkust.edu.tw,public;technology
71,school_071_國立虎尾科技大學,國立虎尾科技大學,886-5-6315107,632301 雲林縣虎尾鎮文化路64 號,632301,雲林縣,虎尾鎮,central,https://www.nfu.edu.tw/zh/,public;technology
72,school_072_國立屏東科技大學,國立屏東科技大學,886-8-7703202#6023,912301 屏東縣內埔鄉老埤村學府路1 號,912301,屏東縣,內埔鄉,south,https://wp.npust.edu.tw/,public;technology
73,school_073_國立臺中科技大學,國立臺中科技大學,886-4-22195755,404336 臺中市北區三民路三段129 號,404336,臺中市,北區,central,https://www.nutc.edu.tw/,public;technology
74,school_074_國立臺北科技大學,國立臺北科技大學,886-2-27712171#6513,106344 台北市忠孝東路三段一號,106344,台北市,,north,https://www.ntut.edu.tw/,public;technology
75,school_075_國立雲林科技大學,國立雲林科技大學,886-5-5372637,640301 雲林縣斗六市大學路3 段123 號,640301,雲林縣斗六市,,,https://www.yuntech.edu.tw/,public;technology
76,school_076_國立澎湖科技大學,國立澎湖科技大學,886-6-9264115#1122,880011 澎湖縣馬公市六合路300 號,880011,澎湖縣馬公市,,,https://www.npu.edu.tw,public;technology
77,school_077_國立臺北護理健康大學,國立臺北護理健康大學,886-2-28227101#2733,112303 台北市北投區明德路365 號,112303,台北市,北投區,north,https://www.ntunhs.edu.tw,public;general_or_specialized_university;medical_health
78,school_078_國立臺北商業大學,國立臺北商業大學,886-2-23226050,100025 臺北市中正區濟南路一段321 號,100025,臺北市,中正區,north,https://www.ntub.edu.tw,public;general_or_specialized_university;business_management
79,school_079_國立勤益科技大學,國立勤益科技大學,886-4-23924505#2186,411030 臺中市太平區坪林里中山路二段57 號,411030,臺中市,太平區,central,http://www.ncut.edu.tw,public;technology
80,school_080_國立高雄餐旅大學,國立高雄餐旅大學,886-7-8060505#12202,812301 高雄市小港區松和路1 號,812301,高雄市,小港區,south,https://www.nkuht.edu.tw,public;general_or_specialized_university;hospitality
